item_id,name,category,unit_cost,created_at
ITM_0001,Organic Green Tea,Beverages,4.59,2026-08-29 09:28:03
ITM_0002,Whole Milk 1Gal,Dairy,1.89,2026-08-29 09:28:03
ITM_0003,Artisan Sourdough,Bakery,2.41,2026-08-29 09:28:03
ITM_0004,Organic Bananas 2lb,Produce,1.64,2026-08-29 09:28:03
ITM_0005,Boneless Chicken Breast 2lb,Meat & Seafood,11.23,2026-08-29 09:28:03
ITM_0006,Tortilla Chips Sea Salt,Snacks,4.17,2026-08-29 09:28:03
ITM_0007,Frozen Thin Crust Pizza,Frozen,7.2,2026-08-29 09:28:03
ITM_0008,Paper Towels 6 Rolls,Household,3.33,2026-08-29 09:28:03
ITM_0009,Cold Brew Coffee (Var 2),Beverages,3.44,2026-08-29 09:28:03
ITM_0010,Greek Yogurt 32oz (Var 2),Dairy,1.9,2026-08-29 09:28:03
ITM_0011,Whole Wheat Bread (Var 2),Bakery,2.22,2026-08-29 09:28:03
ITM_0012,Avocados Hass 4pk (Var 2),Produce,2.57,2026-08-29 09:28:03
ITM_0013,Ground Beef 85/15 1lb (Var 2),Meat & Seafood,3.78,2026-08-29 09:28:03
ITM_0014,Mixed Nuts Roasted 16oz (Var 2),Snacks,2.22,2026-08-29 09:28:03
ITM_0015,Ice Cream Vanilla Bean 48oz (Var 2),Frozen,5.84,2026-08-29 09:28:03
ITM_0016,Toilet Paper 12 Mega Rolls (Var 2),Household,7.68,2026-08-29 09:28:03
ITM_0017,Sparkling Water 12pk (Var 3),Beverages,2.37,2026-08-29 09:28:03
ITM_0018,Cheddar Cheese Block (Var 3),Dairy,3.8,2026-08-29 09:28:03
ITM_0019,Brioche Buns 6pk (Var 3),Bakery,4.17,2026-08-29 09:28:03
ITM_0020,Honeycrisp Apples 3lb (Var 3),Produce,0.92,2026-08-29 09:28:03
ITM_0021,Atlantic Salmon Fillet 1lb (Var 3),Meat & Seafood,11.96,2026-08-29 09:28:03
ITM_0022,Dark Chocolate Bar 70% (Var 3),Snacks,4.26,2026-08-29 09:28:03
ITM_0023,Frozen Berries Blend 24oz (Var 3),Frozen,4.11,2026-08-29 09:28:03
ITM_0024,Liquid Laundry Detergent 64 loads (Var 3),Household,3.98,2026-08-29 09:28:03
ITM_0025,Almond Milk 64oz (Var 4),Beverages,6.27,2026-08-29 09:28:03
ITM_0026,Unsalted Butter 1lb (Var 4),Dairy,2.94,2026-08-29 09:28:03
ITM_0027,Blueberry Muffins 4pk (Var 4),Bakery,1.81,2026-08-29 09:28:03
ITM_0028,Baby Spinach 16oz (Var 4),Produce,1.22,2026-08-29 09:28:03
ITM_0029,Pork Chops Bone-In 2lb (Var 4),Meat & Seafood,12.4,2026-08-29 09:28:03
ITM_0030,Pretzels Crispy 16oz (Var 4),Snacks,3.88,2026-08-29 09:28:03
ITM_0031,Waffles Homestyle 10ct (Var 4),Frozen,6.72,2026-08-29 09:28:03
ITM_0032,Dish Soap 24oz (Var 4),Household,9.43,2026-08-29 09:28:03
ITM_0033,Fresh Orange Juice (Var 5),Beverages,4.04,2026-08-29 09:28:03
